trip_id,arrival_time,departure_time,stop_sequence,stop_id
019B_1,11:30:52,11:30:52,7,S5357
019B_1,11:35:50,11:35:50,8,T0
020A_1,13:19:09,13:19:09,1,T21
020A_1,13:20:18,13:20:18,2,S5460
020A_1,13:21:10,13:21:10,3,S5260
020A_1,13:23:01,13:23:01,4,S465
020A_1,13:27:28,13:27:28,5,S5283
020A_1,13:30:53,13:30:53,6,S217
020A_1,13:39:18,13:39:18,7,S205
020A_1,13:41:33,13:41:33,8,S206
020A_1,13:42:54,13:42:54,9,S5468
020B_1,14:13:15,14:13:15,1,T225
020B_1,14:30:56,14:30:56,2,S229
020B_1,14:33:10,14:33:10,3,S5473
020B_1,14:34:40,14:34:40,4,S5474
020B_1,14:38:03,14:38:03,5,S241
020B_1,14:39:37,14:39:37,6,S5476
020B_1,14:41:03,14:41:03,7,S5478
020B_1,14:44:17,14:44:17,8,S5479
021A_1,15:28:46,15:28:46,1,S5480
021A_1,15:31:27,15:31:27,2,S5482
021A_1,15:34:55,15:34:55,3,S5483
021A_1,15:37:58,15:37:58,4,S5485
021A_1,15:39:33,15:39:33,5,S5331
021A_1,15:40:39,15:40:39,6,S5487
021A_1,15:43:36,15:43:36,7,S574
021A_1,15:46:24,15:46:24,8,S3284
021A_1,15:49:45,15:49:45,9,S5491
021A_1,15:52:49,15:52:49,10,S5492
021A_1,15:54:54,15:54:54,11,S5338
021B_1,16:08:29,16:08:29,1,S5338
021B_1,16:11:31,16:11:31,2,S5496
021B_1,16:17:29,16:17:29,3,S5246
021B_1,16:26:49,16:26:49,4,S5382
021B_1,16:31:10,16:31:10,5,S5502
021B_1,16:32:41,16:32:41,6,S5356
021B_1,16:33:53,16:33:53,7,S5505
021B_1,16:38:52,16:38:52,8,T0
023A_1,12:46:11,12:46:11,1,T0
023A_1,12:59:59,12:59:59,2,S1183
023A_1,13:05:18,13:05:18,3,S757
023A_1,13:07:02,13:07:02,4,S5535
023A_1,13:10:06,13:10:06,5,S5537
023A_1,13:18:58,13:18:58,6,S5535
023A_1,13:22:31,13:22:31,7,S4102
023A_1,13:25:00,13:25:00,8,S4104
023A_1,13:26:02,13:26:02,9,S5544
023A_1,13:28:11,13:28:11,10,S766
023A_1,13:30:29,13:30:29,11,T768
023B_1,14:18:43,14:18:43,1,T5548
023B_1,14:28:06,14:28:06,2,S5550
023B_1,14:36:45,14:36:45,3,S5551
023B_1,14:54:16,14:54:16,4,S5552
023B_1,14:58:19,14:58:19,5,S682
023B_1,15:02:10,15:02:10,6,S335
023B_1,15:03:24,15:03:24,7,S684
023B_1,15:06:01,15:06:01,8,S486
023B_1,15:08:51,15:08:51,9,T0
026A_1,8:57:30,8:57:30,1,T5559
026A_1,9:37:52,9:37:52,2,T5561
026B_1,9:43:54,9:43:54,1,T21
026B_1,9:44:49,9:44:49,2,S5564
026B_1,9:45:48,9:45:48,3,S5564
026B_1,9:49:48,9:49:48,4,S5568
026B_1,9:52:30,9:52:30,5,S231
026B_1,9:55:39,9:55:39,6,S5571
026B_1,10:11:38,10:11:38,7,S5572
026B_1,10:14:58,10:14:58,8,S5574
026B_1,10:18:22,10:18:22,9,S1728
026B_1,10:24:55,10:24:55,10,S5577
026B_1,10:28:55,10:28:55,11,T3099
028A_1,12:15:30,12:15:30,1,T1497
028A_1,12:19:53,12:19:53,2,S5581
028A_1,12:21:25,12:21:25,3,S5583
028A_1,12:27:04,12:27:04,4,S5584
028A_1,12:32:15,12:32:15,5,S5585
028A_1,12:33:56,12:33:56,6,S5587
028A_1,12:36:04,12:36:04,7,S5589
028A_1,12:37:13,12:37:13,8,S5590
028A_1,12:38:54,12:38:54,9,S2790
028A_1,12:40:47,12:40:47,10,S5460
028A_1,12:42:21,12:42:21,11,T5593
028B_1,12:50:41,12:50:41,1,T21
028B_1,12:59:41,12:59:41,2,S5596
028B_1,13:01:28,13:01:28,3,S1366
028B_1,13:02:58,13:02:58,4,S5598
028B_1,13:05:27,13:05:27,5,S5599
028B_1,13:10:09,13:10:09,6,S5600
028B_1,13:12:40,13:12:40,7,S5602
028B_1,13:15:31,13:15:31,8,T1497
029A_1,8:59:55,8:59:55,1,T21
029A_1,9:02:29,9:02:29,2,S5606
029A_1,9:04:51,9:04:51,3,S41
029A_1,9:08:36,9:08:36,4,S43
029A_1,9:12:08,9:12:08,5,S5610
029A_1,9:14:03,9:14:03,6,S47
029A_1,9:15:45,9:15:45,7,S5613
029A_1,9:17:34,9:17:34,8,S5615
029A_1,9:23:23,9:23:23,9,T75
029B_1,8:32:12,8:32:12,1,T75
029B_1,8:51:43,8:51:43,2,S5619
