stop_id,stop_name,stop_lat,stop_lon
S915,Awotse Kojo,5.534739971,-0.232905
S6162,Ashiaman Overhead,5.681310177,-0.024835
S63,Lapaz Drug Store,5.606050014,-0.246895999
S475,Papaye 096,5.609099865,-0.226693004
S876,Regy's,5.595399857,-0.270307988
S1636,Overhead 248,5.555399895,-0.219120994
S5818,Atta mills,5.658939838,-0.270536005
S171,First Block Factory,5.645773411,-0.139397666
S5016,Galelia,5.539120197,-0.398003995
S1772,Odorkor 2,5.57999754,-0.263931513
S6066,School Junction 058,5.615479946,-0.274096996
S5485,Clinic,5.629650116,-0.248017997
S4029,Sankara Second,5.572579861,-0.191141993
S4543,Abotsi Hanyah,5.584799767,-0.102849998
S3,Market 005,5.599080086,-0.29073
S1865,Mama's Inn,5.554389954,-0.264468998
S4470,Police Hospital,5.568039894,-0.180858999
T865,Terminal Sowutuom Station,5.623772621,-0.282839373
S2475,Toilet Junction,5.527490139,-0.242184997
S6034,Raster,5.611259937,-0.265919
S1397,Odor Rise 201,5.573790073,-0.214902997
S320,Curve 1 082,5.64936018,-0.131569996
S503,GIMPA,5.64124012,-0.205467343
T1957,Terminal Mallam Station,5.575174332,-0.289693143
S4931,Market 995,5.552559853,-0.250259995
S3750,Lapaz Abrantea,5.605080128,-0.252775013
S4014,Block Factory 2,5.59758997,-0.118340001
S3454,Delta Capital,5.563499928,-0.206214994
S3156,Total 334,5.668039799,-0.205761999
S204,First Step,5.571509838,-0.213266
S4469,Labone Junction 456,5.571839809,-0.180034995
T2342,Terminal Haasto,5.667220116,-0.204611003
S2975,Flat Top,5.610459805,-0.233678997
S5917,Mallam 1,5.576449871,-0.290100992
S5544,Nungua Police Station,5.594749928,-0.087517001
S1954,Mallam Junction 239,5.571284771,-0.285701007
S4147,Labone,5.562240124,-0.172454
S5551,Printex,5.64027977,-0.120012999
S914,Korle Bu,5.536126614,-0.22677134
S4047,Traffic 421,5.662010193,-0.072080001
S306,Achimota Hospital,5.62706995,-0.218873337
S3321,Abelemkpe,5.6073699,-0.215233997
S4030,Circle Overhead 419,5.570409775,-0.212357
S2111,13th,5.567940235,-0.27037701
S6139,Abofu,5.614719868,-0.225310996
S5375,Fise Junction,5.698219776,-0.292178988
S530,Communication,5.651949883,-0.209485993
S5124,Mary's,5.536819935,-0.223646998
S5118,Sukura Station,5.550559998,-0.249311
S593,Faase,5.723994732,-0.277043015
S1553,Caprice,5.583950043,-0.217032
S1483,PTC 208,5.567120075,-0.213284999
S1891,Station 378,5.58722353,-0.279084325
S382,Tantra Hill,5.643060207,-0.245649993
S1458,Police Headquarters,5.570469856,-0.187350005
S1767,Zongo,5.569570065,-0.330552995
S550,Abelemkpe,5.609419823,-0.212167993
T6061,Terminal Sotuom VRA,5.631390095,-0.297852993
S2057,Dela 243,5.570059776,-0.271068007
S3216,School Junction 343,5.608290195,-0.263238013
S2271,Novotel,5.553939819,-0.201441005
S2784,Presby Junction 298,5.614049911,-0.195841998
S4408,Second Gate 055,5.57310009,-0.192300007
T916,Terminal Mamprobi,5.53508997,-0.243891001
S4845,Akrowa,5.56731987,-0.149415001
S305,X'tian Village Junction,5.634160042,-0.215747997
S771,Cold Store 424,5.595365047,-0.086544998
T931,Terminal Mamprobi Camara,5.536509991,-0.255169511
S43,Swanlake,5.585100174,-0.2318625
S1739,Mensah Addo,5.633930206,-0.286830992
S6095,Manet,5.637819767,-0.126251996
S772,First Junction 424,5.588580132,-0.097741999
S946,Zongo Junction 410,5.556230068,-0.235451996
S3954,Prisons 415,5.6020298,-0.190490007
S373,Abodwese,5.656350136,-0.281841993
S5627,Food court,5.563759804,-0.181468993
S4512,Akoto Lante,5.538949966,-0.213043496
S4966,Radio Gold 535,5.547120094,-0.238397002
S5845,Mile 7 Junc.,5.635340214,-0.240319997
S2290,Vea,5.529779911,-0.263188004
S4956,IBE,5.539030075,-0.247229993
S3820,Banyard 1,5.585949898,-0.272819996
S606,New Life 104,5.71901989,-0.280846
